,title,link,pubDate,description
0,Apple's ad privacy change impact shows the power it wields over other industries - CNBC,https://www.cnbc.com/2021/11/13/apples-privacy-changes-show-the-power-it-holds-over-other-industries.html,"Sat, 13 Nov 2021 16:28:11 GMT",Apple's ad privacy change impact shows the power it wields over other industries
1,"This Week in Apps: Court orders Apple to implement App Store changes, 2022 forecast, TikTok tries gaming - TechCrunch",https://techcrunch.com/2021/11/13/this-week-in-apps-court-orders-apple-to-implement-app-store-changes-2022-forecast-tiktok-tries-gaming/,"Sat, 13 Nov 2021 18:46:22 GMT","This Week in Apps: Court orders Apple to implement App Store changes, 2022 forecast, TikTok tries gaming"
2,Report: Second Apple Store in Berlin could open ‘in the coming weeks’ - 9to5Mac,https://9to5mac.com/2021/11/13/report-second-apple-store-in-berlin-could-open-in-the-coming-weeks/,"Sat, 13 Nov 2021 13:15:00 GMT",Report: Second Apple Store in Berlin could open ‘in the coming weeks’
3,iOS 15.2–Apple's 'Shock' Decision Will Change Your iPhone Forever - Forbes,https://www.forbes.com/sites/zakdoffman/2021/11/13/apples-billion-iphone-users-shock-imessage-update-after-security-warnings/,"Sat, 13 Nov 2021 11:30:00 GMT",iOS 15.2–Apple's 'Shock' Decision Will Change Your iPhone Forever
4,"Best deals Nov. 13: Save $30 on Second-Gen Apple Pencil, $70 off Powerbeats, and more - AppleInsider",https://appleinsider.com/articles/21/11/13/best-deals-nov-13-save-30-on-second-gen-apple-pencil-70-off-powerbeats-and-more,"Sat, 13 Nov 2021 16:38:00 GMT","Best deals Nov. 13: Save $30 on Second-Gen Apple Pencil, $70 off Powerbeats, and more"
5,"Apple's iOS 15.1: How to download, new features and more - CNET",https://www.cnet.com/tech/services-and-software/apples-ios-15-1-how-to-download-new-features-more/,"Sat, 13 Nov 2021 17:15:02 GMT","Apple's iOS 15.1: How to download, new features and more"
6,Apple Glasses could go even further with iPhone privacy - Tom's Guide,https://www.tomsguide.com/news/apple-glasses-could-go-even-further-with-iphone-privacy,"Sat, 13 Nov 2021 15:19:58 GMT",Apple Glasses could go even further with iPhone privacy
7,Apple’s Huge iPhone Mistake—A Surprise Win For Facebook - Forbes,https://www.forbes.com/sites/zakdoffman/2021/11/13/why-apple-iphone-google-android-and-windows-10-users-need-facebook-messaging/,"Sat, 13 Nov 2021 11:30:00 GMT",Apple’s Huge iPhone Mistake—A Surprise Win For Facebook
8,How to make your Apple Watch battery last longer - AppleInsider,https://appleinsider.com/articles/21/11/13/how-to-make-your-apple-watch-battery-last-longer,"Sat, 13 Nov 2021 20:15:08 GMT",How to make your Apple Watch battery last longer
9,New Apple Exclusive Reveals Massive iPhone 14 Upgrades - Forbes,https://www.forbes.com/sites/gordonkelly/2021/11/13/apple-iphone-14-pro-max-touch-id-security-upgrade-iphone-13-pro-max/,"Sat, 13 Nov 2021 15:10:46 GMT",New Apple Exclusive Reveals Massive iPhone 14 Upgrades
