,title,link,pubDate,description
0,Delta Air Lines Bulks Up Minneapolis As Sun Country Grows - Simple Flying,https://simpleflying.com/delta-minneapolis-sun-country/,"Sat, 13 Nov 2021 22:04:06 GMT",Delta Air Lines Bulks Up Minneapolis As Sun Country Grows
1,Delta adding a dozen transatlantic routes to 2022 schedule - Business Insider,https://www.businessinsider.com/delta-adding-a-dozen-transatlantic-routes-to-2022-schedule-2021-11,"Sat, 13 Nov 2021 08:44:16 GMT",Delta adding a dozen transatlantic routes to 2022 schedule
2,"Full-Service Airline Market Is Going To Boom: Cathay Pacific Airways, The Emirates & Delta Air Lines – Energy Siren - Energy Siren",https://energysiren.co.ke/2021/11/13/full-service-airline-market-is-going-to-boom-cathay-pacific-airways-the-emirates-delta-air-lines/,"Sat, 13 Nov 2021 16:50:37 GMT","Full-Service Airline Market Is Going To Boom: Cathay Pacific Airways, The Emirates & Delta Air Lines – Energy Siren"
3,Flight Attendants Urge High Court To Uphold Pay Stubs Ruling - Law360,https://www.law360.com/employment-authority/articles/1440211/flight-attendants-urge-high-court-to-uphold-pay-stubs-ruling,"Sat, 13 Nov 2021 00:59:00 GMT",Flight Attendants Urge High Court To Uphold Pay Stubs Ruling
4,United Airlines CEO: We Will Be Largest Airline In The World By Summer 2022 - Live and Let's Fly,https://liveandletsfly.com/united-airlines-largest-airline/,"Sat, 13 Nov 2021 17:39:34 GMT",United Airlines CEO: We Will Be Largest Airline In The World By Summer 2022
5,United Airlines Puts Amman Flights On Sale - Simple Flying,https://simpleflying.com/united-selling-amman-flights/,"Sat, 13 Nov 2021 03:33:54 GMT",United Airlines Puts Amman Flights On Sale
6,"Animal Transportation Service Market Top Players Analysis: American Airlines, Delta Air Lines, United Airlines, FedEx, Amerijet, Southwest Airlines, DSV, Air France, IAG Cargo, Lan Cargo SA, Copa Airlines, – LSMedia - LSMedia",https://liverpoolstudentmedia.com/finance/407553/animal-transportation-service-market-top-players-analysis-american-airlines-delta-air-lines-united-airlines-fedex-amerijet-southwest-airlines-dsv-air-france-iag-cargo-lan-cargo-s-a-copa-ai/,"Sat, 13 Nov 2021 11:02:50 GMT","Animal Transportation Service Market Top Players Analysis: American Airlines, Delta Air Lines, United Airlines, FedEx, Amerijet, Southwest Airlines, DSV, Air France, IAG Cargo, Lan Cargo SA, Copa Airlines, – LSMedia"
7,36 Congress Members Make New Push For Vaccine And Testing Requirements For Domestic Air Travel - Forbes,https://www.forbes.com/sites/willyakowicz/2021/11/11/disney-is-aggressively-pursuing-opportunities-in-sporting-betting/,"Sat, 13 Nov 2021 16:57:44 GMT",36 Congress Members Make New Push For Vaccine And Testing Requirements For Domestic Air Travel
8,American Airlines Inaugurates Flights From New York To Delhi - Simple Flying,https://simpleflying.com/american-new-york-delhi-launch/,"Sat, 13 Nov 2021 01:31:07 GMT",American Airlines Inaugurates Flights From New York To Delhi
9,"Aircraft Line Maintenance Market 2021 Analysis by Size, Share, Growth, Trends up to 2027 | British Airways, Delta Air Lines, Lufthansa, SIA Engineering Company – Energy Siren - Energy Siren",https://energysiren.co.ke/2021/11/13/aircraft-line-maintenance-market-2021-analysis-by-size-share-growth-trends-up-to-2027-british-airways-delta-air-lines-lufthansa-sia-engineering-company/,"Sat, 13 Nov 2021 11:00:22 GMT","Aircraft Line Maintenance Market 2021 Analysis by Size, Share, Growth, Trends up to 2027 | British Airways, Delta Air Lines, Lufthansa, SIA Engineering Company – Energy Siren"
10,10 airline passengers accused of unruly behavior fined more than $225K - KIRO Seattle,https://www.kiro7.com/news/trending/10-airline-passengers-accused-unruly-behavior-face-more-than-225k-fines/NVGFQY2H4ZEK7KZM75XBRZTIEQ/,"Sat, 13 Nov 2021 01:59:00 GMT",10 airline passengers accused of unruly behavior fined more than $225K
11,Viva Aerobus Wants 30% Of Its Fleet To Use Hybrid Propulsion Systems - Simple Flying,https://simpleflying.com/viva-aerobus-hybrid-propulsion/,"Sat, 13 Nov 2021 17:03:45 GMT",Viva Aerobus Wants 30% Of Its Fleet To Use Hybrid Propulsion Systems
12,Mexican airlines: rational behaviour key to accelerated recovery | CAPA - CAPA - Centre for Aviation,https://centreforaviation.com/analysis/reports/mexican-airlines-rational-behaviour-key-to-accelerated-recovery-581682,"Sat, 13 Nov 2021 21:35:44 GMT",Mexican airlines: rational behaviour key to accelerated recovery | CAPA
13,Boeing 777X Makes Airshow Debut At Dubai - Aviation Week,https://aviationweek.com/atw-location/boeing-777x-makes-airshow-debut-dubai,"Sat, 13 Nov 2021 14:34:29 GMT",Boeing 777X Makes Airshow Debut At Dubai
14,A look at major COVID-19 developments over the past week - Atlanta Journal Constitution,https://www.ajc.com/news/atlanta-news/a-look-at-major-covid-19-developments-over-the-past-week/XSGY5MIT4NDLVLWV5NO4NWCY4U/,"Sat, 13 Nov 2021 12:44:52 GMT",A look at major COVID-19 developments over the past week
15,"Beta Wealth Group, Inc. Buys S - GuruFocus.com",https://www.gurufocus.com/news/1571734/beta-wealth-group-inc-buys-spdr-blackstone-senior-loan-etf-delta-air-lines-inc-boeing-co-sells-vanguard-dividend-appreciation-ftf-btc-ishares-international-aggregate-bond-fund-blackstone-inc,"Sat, 13 Nov 2021 01:41:36 GMT","Beta Wealth Group, Inc. Buys S"
16,"Airline Ancillary Services Market Opportunity,Analytical Insights – American Airlines Group (AAG),Delta Airlines,KLM Royal Dutch Airlines – LSMedia - LSMedia",https://liverpoolstudentmedia.com/business/394114/airline-ancillary-services-market-opportunityanalytical-insights-american-airlines-group-aagdelta-airlinesklm-royal-dutch-airlines/,"Sat, 13 Nov 2021 05:12:30 GMT","Airline Ancillary Services Market Opportunity,Analytical Insights – American Airlines Group (AAG),Delta Airlines,KLM Royal Dutch Airlines – LSMedia"
17,"Inlet Private Wealth, LLC Buys - GuruFocus.com",https://www.gurufocus.com/news/1571779/inlet-private-wealth-llc-buys-general-electric-co-cannae-holdings-inc-alibaba-group-holding-sells-gan-f5-networks-inc-delta-air-lines-inc,"Sat, 13 Nov 2021 02:41:57 GMT","Inlet Private Wealth, LLC Buys"
18,Airlines commit millions of seats to Jamaica | Lead Stories - Jamaica Gleaner,https://jamaica-gleaner.com/article/lead-stories/20211113/airlines-commit-millions-seats-jamaica,"Sat, 13 Nov 2021 05:09:24 GMT",Airlines commit millions of seats to Jamaica | Lead Stories
19,"Thanksgiving crunch approaches, airports brace for impact - mySanAntonio.com",https://www.mysanantonio.com/travel/article/Routes-Thanksgiving-crunch-approaches-16615826.php,"Sat, 13 Nov 2021 12:12:47 GMT","Thanksgiving crunch approaches, airports brace for impact"
20,Travel trouble: US Olympians face uncertain road to Beijing - Santa Monica Daily Press,https://www.smdp.com/travel-trouble-us-olympians-face-uncertain-road-to-beijing/210455,"Sat, 13 Nov 2021 06:00:00 GMT",Travel trouble: US Olympians face uncertain road to Beijing
21,"Routes: New Southwest destination from Bay Area, Thanksgiving crunch approaches, United drops more cities from SFO, Europe schedules revived - SF Gate",https://www.sfgate.com/travel/article/Routes-Thanksgiving-crunch-approaches-16615826.php,"Sat, 13 Nov 2021 12:04:35 GMT","Routes: New Southwest destination from Bay Area, Thanksgiving crunch approaches, United drops more cities from SFO, Europe schedules revived"
22,"Contrarian Capital Management, - GuruFocus.com",https://www.gurufocus.com/news/1571815/contrarian-capital-management-llc-buys-arch-resources-inc-safeguard-scientifics-inc-corepoint-lodging-inc-sells-vedanta-controladora-vuela-compania-de-aviacion-sab-de-cv-at-home-group-inc,"Sat, 13 Nov 2021 03:38:59 GMT","Contrarian Capital Management,"
23,"Cheryl Anderson Zuck Obituary (1959 - 2021) - Minneapolis, MN - Legacy.com",https://www.legacy.com/us/obituaries/name/cheryl-anderson-zuck-obituary?id=31539638,"Sat, 13 Nov 2021 02:28:44 GMT","Cheryl Anderson Zuck Obituary (1959 - 2021) - Minneapolis, MN"
24,Lansdowne Partners (uk) Llp Bu - GuruFocus.com,https://www.gurufocus.com/news/1571716/lansdowne-partners-uk-llp-buys-westrock-co-general-electric-co-nvent-electric-plc-sells-lam-research-corp-micron-technology-inc-freeportmcmoran-inc,"Sat, 13 Nov 2021 01:41:36 GMT",Lansdowne Partners (uk) Llp Bu
25,"Expression Vectors market to generate Good Income, Key Players -Thermo Fisher Scientific, Inc. (US), Promega Corporation (US). – Energy Siren - Energy Siren",https://energysiren.co.ke/2021/11/13/expression-vectors-market-to-generate-good-income-key-players-thermo-fisher-scientific-inc-u-s-promega-corporation-u-s/,"Sat, 13 Nov 2021 12:02:02 GMT","Expression Vectors market to generate Good Income, Key Players -Thermo Fisher Scientific, Inc. (US), Promega Corporation (US). – Energy Siren"
26,Ares Management Llc Buys Infra - GuruFocus.com,https://www.gurufocus.com/news/1571881/ares-management-llc-buys-infrastructure-and-energy-alternatives-inc-pennant-park-investment-corp-new-mountain-finance-corp-sells-california-resources-corp-vanguard-high-dividend-yield-indx-etf-extraction-oil--gas-inc,"Sat, 13 Nov 2021 04:38:38 GMT",Ares Management Llc Buys Infra
27,Hawaiian Holdings Inc. (HA): Sit Tight When Things Go Right - Stocks Register,https://stocksregister.com/2021/11/13/hawaiian-holdings-inc-ha-sit-tight-when-things-go-right/,"Sat, 13 Nov 2021 12:43:30 GMT",Hawaiian Holdings Inc. (HA): Sit Tight When Things Go Right
28,In Photos: Fans of Britney Spears Rejoice as US Judge Ends Pop Star's Conservatorship - News18,https://www.news18.com/photogallery/buzz/in-photos-fans-of-britney-spears-rejoice-as-us-judge-ends-pop-stars-conservatorship-4439888.html,"Sat, 13 Nov 2021 13:53:14 GMT",In Photos: Fans of Britney Spears Rejoice as US Judge Ends Pop Star's Conservatorship
29,Opinion: Baseball and politics are America's pastimes - Glendale Star,https://www.glendalestar.com/opinion/article_afadf91e-434a-11ec-907f-738e481a1923.html,"Sat, 13 Nov 2021 08:00:00 GMT",Opinion: Baseball and politics are America's pastimes
30,"Stevia Market 2021 Future Scope and Price Analysis of Top Manufacturers Profiles | Evolva Holding SA, Cargill Inc., Stevia Corporation, PureCircle, Ingredion Incorporated, The Coca-Cola Company – Energy Siren - Energy Siren",https://energysiren.co.ke/2021/11/13/stevia-market-2021-future-scope-and-price-analysis-of-top-manufacturers-profiles-evolva-holding-s-a-cargill-inc-stevia-corporation-purecircle-ingredion-incorporated-the-coca-cola-company/,"Sat, 13 Nov 2021 16:50:39 GMT","Stevia Market 2021 Future Scope and Price Analysis of Top Manufacturers Profiles | Evolva Holding SA, Cargill Inc., Stevia Corporation, PureCircle, Ingredion Incorporated, The Coca-Cola Company – Energy Siren"
31,"Whole Body Cryo Market 2021-2026 Size and Share, Recent Enhancements and Regional Analysis | Key Companies: JUKA, Asperia Group, CRYO Science, MECOTEC, Grand Cryo, Cryomed, Kriomedpol, KRION, Impac… – Energy Siren - Energy Siren",https://energysiren.co.ke/2021/11/13/whole-body-cryo-market-2021-2026-size-and-share-recent-enhancements-and-regional-analysis-key-companies-juka-asperia-group-cryo-science-mecotec-grand-cryo-cryomed-kriomedpol-krion-impac/,"Sat, 13 Nov 2021 16:50:36 GMT","Whole Body Cryo Market 2021-2026 Size and Share, Recent Enhancements and Regional Analysis | Key Companies: JUKA, Asperia Group, CRYO Science, MECOTEC, Grand Cryo, Cryomed, Kriomedpol, KRION, Impac… – Energy Siren"
32,10 essentials for jet-setting travelers - Anchorage Daily News,https://www.adn.com/alaska-life/travel/2021/11/13/10-essentials-for-jet-setting-travelers/,"Sat, 13 Nov 2021 22:39:30 GMT",10 essentials for jet-setting travelers
33,"Global Advanced Technology Catheters Market 2021 Financial Insights, Business Growth Strategies, Trends | Market Players: AdvancedCath, Edwards Lifesciences Corporation, Biomerics, Advanced Cardiac… – Energy Siren - Energy Siren",https://energysiren.co.ke/2021/11/13/global-advanced-technology-catheters-market-2021-financial-insights-business-growth-strategies-trends-market-players-advancedcath-edwards-lifesciences-corporation-biomerics-advanced-cardiac/,"Sat, 13 Nov 2021 12:22:00 GMT","Global Advanced Technology Catheters Market 2021 Financial Insights, Business Growth Strategies, Trends | Market Players: AdvancedCath, Edwards Lifesciences Corporation, Biomerics, Advanced Cardiac… – Energy Siren"
34,Eyes in the Sky: a pilot's perspective | This Is Local London - This is Local London,https://www.thisislocallondon.co.uk/news/19715334.attique-qumar--haayed-wilsons-school/,"Sat, 13 Nov 2021 13:30:21 GMT",Eyes in the Sky: a pilot's perspective | This Is Local London
