,title,link,pubDate,description
0,`물타기`도 지쳤다…개미들 1년만에 삼성전자 매도 우위로 - 매일경제,https://www.mk.co.kr/news/economy/view/2021/11/1070639/,"Sat, 13 Nov 2021 21:21:01 GMT",`물타기`도 지쳤다…개미들 1년만에 삼성전자 매도 우위로
1,"삼성전자, 차세대 2.5D 패키징 솔루션 'H-Cube' 개발 - 헬로티",https://www.hellot.net/news/article.html?no=63344,"Sat, 13 Nov 2021 15:02:13 GMT","삼성전자, 차세대 2.5D 패키징 솔루션 'H-Cube' 개발"
2,"삼성전자, 인사제도 바꾼다… 이재용의 '뉴 삼성' 방향성 나올까 - 머니S - Money S",https://m.moneys.mt.co.kr/article.html?no=2021111316498097090,"Sat, 13 Nov 2021 07:53:24 GMT","삼성전자, 인사제도 바꾼다… 이재용의 '뉴 삼성' 방향성 나올까 - 머니S"
3,삼성전자 미국 투자발표 초읽기…미중 정상회담 변수 되나 - 매일경제,https://www.mk.co.kr/news/business/view/2021/11/1070221/,"Sat, 13 Nov 2021 01:43:26 GMT",삼성전자 미국 투자발표 초읽기…미중 정상회담 변수 되나
4,"에너자이, 삼성전자 ‘C랩 아웃사이드’ 선정 - 정보통신신문",https://www.koit.co.kr/news/articleView.html?idxno=90903,"Sat, 13 Nov 2021 09:35:00 GMT","에너자이, 삼성전자 ‘C랩 아웃사이드’ 선정"
5,터키 매체 “삼성전자 롤링 스크린 중요 특허” - 글로벌이코노믹,https://www.g-enews.com/view.php?ud=2021111309480954932bb03d9507_1,"Sat, 13 Nov 2021 00:58:21 GMT",터키 매체 “삼성전자 롤링 스크린 중요 특허”
6,"[TF비즈토크] 삼성전자 '인사제도 개편' 카드, 주가 부양엔 어떤 효과? - 더팩트",http://news.tf.co.kr/read/economy/1899451.htm,"Sat, 13 Nov 2021 15:03:01 GMT","[TF비즈토크] 삼성전자 '인사제도 개편' 카드, 주가 부양엔 어떤 효과?"
7,삼성전자 SK하이닉스 불확실성 커지나…내년 웨이퍼 공급난 우려 - 매일경제,https://www.mk.co.kr/news/it/view/2021/11/1070236/,"Sat, 13 Nov 2021 02:01:02 GMT",삼성전자 SK하이닉스 불확실성 커지나…내년 웨이퍼 공급난 우려
8,삼성전자 갤럭시S21 FE·S22 나온다 - 시사매거진,http://www.sisamagazine.co.kr/news/articleView.html?idxno=413223,"Sat, 13 Nov 2021 02:09:16 GMT",삼성전자 갤럭시S21 FE·S22 나온다
9,'물타기'도 지쳤다…개미들 1년만에 삼성전자 매도 우위로 - 연합뉴스,https://www.yna.co.kr/view/AKR20211112160700002?section=economy/all&site=major_news03,"Sat, 13 Nov 2021 21:21:01 GMT",'물타기'도 지쳤다…개미들 1년만에 삼성전자 매도 우위로
10,"이재용, 14일 해외 출장 나서… 20조 반도체 투자 결론짓나 - 조선일보 - 조선일보",https://www.chosun.com/economy/industry-company/2021/11/13/WP2MPZ52G5DWPIZK6ANLAQMTAE/,"Sat, 13 Nov 2021 11:36:00 GMT","이재용, 14일 해외 출장 나서… 20조 반도체 투자 결론짓나 - 조선일보"
11,삼성전자 美디지렌즈에 추가 투자…삼성전기도 '메타버스' 수혜 입나 - 파이낸셜뉴스,https://www.fnnews.com/news/202111140606126641,"Sat, 13 Nov 2021 21:06:00 GMT",삼성전자 美디지렌즈에 추가 투자…삼성전기도 '메타버스' 수혜 입나
12,[배진솔의 전자사전]삼성전자가 美에 제출한 영업기밀은? - 이데일리,https://www.edaily.co.kr/news/read?newsId=01377606629245392&mediaCodeNo=257,"Sat, 13 Nov 2021 03:00:00 GMT",[배진솔의 전자사전]삼성전자가 美에 제출한 영업기밀은?
13,"""6분기 연속 성장한 글로벌 D램 시장, 4분기엔 둔화 전망"" - 매일경제",https://www.mk.co.kr/news/politics/view/2021/11/1070632/,"Sat, 13 Nov 2021 21:01:04 GMT","""6분기 연속 성장한 글로벌 D램 시장, 4분기엔 둔화 전망"""
14,“종이 비행기나 접어라” ‘조롱’ 받던 삼성 ‘놀라운 반전’ - 헤럴드경제 뉴스 - 헤럴드경제 모바일,http://mbiz.heraldcorp.com/view.php?ud=20211112000669,"Sat, 13 Nov 2021 05:40:00 GMT",“종이 비행기나 접어라” ‘조롱’ 받던 삼성 ‘놀라운 반전’ - 헤럴드경제 뉴스
15,美출장 이재용 '여러 파트너 만날 예정'…반도체 투자·백신 챙길 듯(상보) - 아시아경제,https://www.asiae.co.kr/article/world-general/2021111408101475777,"Sat, 13 Nov 2021 22:40:00 GMT",美출장 이재용 '여러 파트너 만날 예정'…반도체 투자·백신 챙길 듯(상보)
16,2년 만에 오프라인 컴백하는 CES…미래 산업 신기술 쏟아진다 - 매일경제,https://www.mk.co.kr/news/business/view/2021/11/1070612/,"Sat, 13 Nov 2021 20:30:02 GMT",2년 만에 오프라인 컴백하는 CES…미래 산업 신기술 쏟아진다
17,"""블랙프라이데이 잡아라""…삼성·LG, 가격 경쟁 돌입 - 뉴시스",https://newsis.com/view/?id=NISX20211112_0001649771,"Sat, 13 Nov 2021 02:11:00 GMT","""블랙프라이데이 잡아라""…삼성·LG, 가격 경쟁 돌입"
18,뉴시스 - 뉴시스,https://mobile.newsis.com/view.html?ar_id=NISX20211112_0001649695,"Sat, 13 Nov 2021 19:40:00 GMT",뉴시스
19,"이재용, 14일 캐나다·미국 출장길…파운드리 투자 결정할 듯 - 아시아경제",https://www.asiae.co.kr/article/world-general/2021111321125225230,"Sat, 13 Nov 2021 11:42:00 GMT","이재용, 14일 캐나다·미국 출장길…파운드리 투자 결정할 듯"
20,"5년만에 美 떠나는 이재용, 20조 新 파운드리 공장 부지 확정짓나 - 아이뉴스24",https://m.inews24.com/v/1422094,"Sat, 13 Nov 2021 12:34:00 GMT","5년만에 美 떠나는 이재용, 20조 新 파운드리 공장 부지 확정짓나"
21,[주간증시전망] 인플레이션 압력 여전···관망할 한 주 - 조선비즈 - 조선비즈,https://biz.chosun.com/stock/analysis-prospect/2021/11/14/Z5KKMYIDQBFF7G7KCRMWTZAZFI/,"Sat, 13 Nov 2021 21:00:00 GMT",[주간증시전망] 인플레이션 압력 여전···관망할 한 주 - 조선비즈
