,title,link,pubDate,description
0,"삼성전자 종합기술원, 차세대 '전고체전지' 혁신기술 공개",https://news.samsung.com/kr/%EC%82%BC%EC%84%B1%EC%A0%84%EC%9E%90-%EC%A2%85%ED%95%A9%EA%B8%B0%EC%88%A0%EC%9B%90-%EC%B0%A8%EC%84%B8%EB%8C%80-%EC%A0%84%EA%B3%A0%EC%B2%B4%EC%A0%84%EC%A7%80-%ED%98%81%EC%8B%A0,"Tue, 10 Mar 2020 07:00:00 GMT","삼성전자 종합기술원, 차세대 '전고체전지' 혁신기술 공개"
1,"삼성전자, 무선 이어폰 '갤럭시 버즈+' 핑크·레드 색상 출시",https://news.samsung.com/kr/%EC%82%BC%EC%84%B1%EC%A0%84%EC%9E%90-%EB%AC%B4%EC%84%A0-%EC%9D%B4%EC%96%B4%ED%8F%B0-%EA%B0%A4%EB%9F%AD%EC%8B%9C-%EB%B2%84%EC%A6%88-%ED%95%91%ED%81%AC%C2%B7%EB%A0%88%EB%93%9C,"Tue, 10 Mar 2020 07:00:00 GMT","삼성전자, 무선 이어폰 '갤럭시 버즈+' 핑크·레드 색상 출시"
2,"삼성전자, 25만대 판매 '갤럭시버즈 플러스'… 핑크·레드 색상 출시",http://www.topdaily.kr/news/articleView.html?idxno=64960,"Tue, 10 Mar 2020 07:00:00 GMT","삼성전자, 25만대 판매 '갤럭시버즈 플러스'… 핑크·레드 색상 출시"
3,"삼성전자·TSMC, 초미세 파운드리 대결 속도戰",https://zdnet.co.kr/view/?no=20200309163308,"Mon, 09 Mar 2020 07:00:00 GMT","삼성전자·TSMC, 초미세 파운드리 대결 속도戰"
4,"삼성전자, 1회 충전 800㎞ 주행 '전고체 배터리' 개발",http://www.thelec.kr/news/articleView.html?idxno=5277,"Tue, 10 Mar 2020 07:00:00 GMT","삼성전자, 1회 충전 800㎞ 주행 '전고체 배터리' 개발"
5,"삼성전자, 차세대 '전고체전지' 원천기술 공개…'성능' 높이고 '크기' 줄이고",https://www.opinionnews.co.kr/news/articleView.html?idxno=30505,"Tue, 10 Mar 2020 07:00:00 GMT","삼성전자, 차세대 '전고체전지' 원천기술 공개…'성능' 높이고 '크기' 줄이고"
6,"삼성·LG전자, 5G 스마트폰으로 일본 시장 공략한다",https://www.yna.co.kr/view/AKR20200310103300017,"Tue, 10 Mar 2020 07:00:00 GMT","삼성·LG전자, 5G 스마트폰으로 일본 시장 공략한다"
7,"삼성전자, '1회 충전으로 800km 주행' 전기차 배터리 '전고체전지' 개발",https://www.hellot.net/news/article.html?no=50964,"Tue, 10 Mar 2020 07:00:00 GMT","삼성전자, '1회 충전으로 800km 주행' 전기차 배터리 '전고체전지' 개발"
8,"삼성전자 ""전고체전지 원천기술 '네이처에너지'에 공개""",https://www.kipost.net/news/articleView.html?idxno=203330,"Tue, 10 Mar 2020 07:00:00 GMT","삼성전자 ""전고체전지 원천기술 '네이처에너지'에 공개"""
9,"삼성전자, 갤럭시버즈 플러스 핑크·레드 색상 출시",https://www.mk.co.kr/news/it/view/2020/03/248338/,"Tue, 10 Mar 2020 07:00:00 GMT","삼성전자, 갤럭시버즈 플러스 핑크·레드 색상 출시"
10,"삼성전자, '크기½, 거리×2' 車배터리 기술 공개",http://news.bizwatch.co.kr/article/industry/2020/03/10/0004,"Tue, 10 Mar 2020 07:00:00 GMT","삼성전자, '크기½, 거리×2' 車배터리 기술 공개"
11,삼성 전자계열사 R&D 투자 대폭 늘려...삼성전자·SDI 역대 최대 규모,https://www.consumernews.co.kr/news/articleView.html?idxno=602309,"Tue, 10 Mar 2020 07:00:00 GMT",삼성 전자계열사 R&D 투자 대폭 늘려...삼성전자·SDI 역대 최대 규모
12,삼성전자 화성사업장 화재 원인 '전기 합선' 추정,https://m.newspim.com/news/view/20200310000824,"Tue, 10 Mar 2020 07:00:00 GMT",삼성전자 화성사업장 화재 원인 '전기 합선' 추정
13,"베트남 최대투자 삼성…""700명 입국제한 풀어달라""",https://www.mk.co.kr/news/business/view/2020/03/247331/,"Mon, 09 Mar 2020 07:00:00 GMT","베트남 최대투자 삼성…""700명 입국제한 풀어달라"""
14,"[단독] 삼성전자, 차량용 공기청정기 신제품 출시 임박",https://m.ebn.co.kr/news/view/1025472,"Mon, 09 Mar 2020 07:00:00 GMT","[단독] 삼성전자, 차량용 공기청정기 신제품 출시 임박"
