,title,link,pubDate,description
0,국내 최고 자본시장(Capital Markets) 미디어,https://www.thebell.co.kr/free/Content/ArticleView.asp?key=202003031331217840101662&svccode=04,"Tue, 03 Mar 2020 08:00:00 GMT",국내 최고 자본시장(Capital Markets) 미디어
1,"신세계백화점, 명상 비법·클래식 음악…백화점 '스마트 메시지' 진화",https://www.hankyung.com/economy/article/2020030440981,"Wed, 04 Mar 2020 08:00:00 GMT","신세계백화점, 명상 비법·클래식 음악…백화점 '스마트 메시지' 진화"
2,"수출 막힌 어민 판로 확대... 신세계百, 산지 장려 직송 행사",https://www.meconomynews.com/news/articleView.html?idxno=38726,"Wed, 04 Mar 2020 08:00:00 GMT","수출 막힌 어민 판로 확대... 신세계百, 산지 장려 직송 행사"
3,"신세계사이먼 조창현 대표, 경기도의회 의장 표창 수상",https://www.mk.co.kr/news/business/view/2020/03/225533/,"Wed, 04 Mar 2020 08:00:00 GMT","신세계사이먼 조창현 대표, 경기도의회 의장 표창 수상"
4,"""수출길 막힌 어민 돕는다"" 신세계百, 갈치ㆍ참조기ㆍ전복 등 최대 30% 할인",https://www.etoday.co.kr/news/view/1865074,"Wed, 04 Mar 2020 08:00:00 GMT","""수출길 막힌 어민 돕는다"" 신세계百, 갈치ㆍ참조기ㆍ전복 등 최대 30% 할인"
5,부산 신흥 부촌 메트로시티에 신세계 ‘빌리브 센트로’ 분양 - 머니S,https://m.moneys.mt.co.kr/article.html?no=2020022717468068798,"Wed, 04 Mar 2020 08:00:00 GMT",부산 신흥 부촌 메트로시티에 신세계 ‘빌리브 센트로’ 분양 - 머니S
6,"신세계푸드- GS리테일, 홈술족 위한 안주류 간편식 2종 출시",https://www.hankyung.com/news/article/2020030457213,"Wed, 04 Mar 2020 08:00:00 GMT","신세계푸드- GS리테일, 홈술족 위한 안주류 간편식 2종 출시"
7,"[단독] 롯데칠성음료, 와인 전문 매장 '와인ON' 1호점 오픈",https://biz.newdaily.co.kr/site/data/html/2020/03/04/2020030400132.html,"Wed, 04 Mar 2020 08:00:00 GMT","[단독] 롯데칠성음료, 와인 전문 매장 '와인ON' 1호점 오픈"
8,프로맘킨더 이명신 신임대표 취임…고객서비스 강화 방침,https://www.donga.com/news/Culture/article/all/20200303/99978538/2,"Tue, 03 Mar 2020 08:00:00 GMT",프로맘킨더 이명신 신임대표 취임…고객서비스 강화 방침
9,"캘리스코, 프리미엄 돈카츠 브랜드 '사보텐' 신세계사이먼 프리미엄 아울렛 시흥점 오픈",https://www.newswire.co.kr/newsRead.php?no=902028,"Wed, 04 Mar 2020 08:00:00 GMT","캘리스코, 프리미엄 돈카츠 브랜드 '사보텐' 신세계사이먼 프리미엄 아울렛 시흥점 오픈"
10,"스타필드, 5일부터 영업시간 2시간 단축 운영",https://www.seoulfn.com/news/articleView.html?idxno=374208,"Wed, 04 Mar 2020 08:00:00 GMT","스타필드, 5일부터 영업시간 2시간 단축 운영"
11,"신세계푸드, GS리테일과 손잡고 '불난마늘족발' 등 간편식 2종 출시 - 신세계푸드, GS리테일과 손잡고 '불난마늘족발' 등 간편식 2종 출시",https://www.fetv.co.kr/news/article.html?no=49144,"Wed, 04 Mar 2020 08:00:00 GMT","신세계푸드, GS리테일과 손잡고 '불난마늘족발' 등 간편식 2종 출시 - 신세계푸드, GS리테일과 손잡고 '불난마늘족발' 등 간편식 2종 출시"
12,"신세계푸드·GS리테일, '홈술족' 위한 안주류 간편식 2종 출시",http://www.busan.com/view/busan/view.php?code=2020030416145887405,"Wed, 04 Mar 2020 08:00:00 GMT","신세계푸드·GS리테일, '홈술족' 위한 안주류 간편식 2종 출시"
13,"캘리스코 사보텐, 국내 49번째 정착지는 '시흥'",https://www.thinkfood.co.kr/news/articleView.html?idxno=86671,"Wed, 04 Mar 2020 08:00:00 GMT","캘리스코 사보텐, 국내 49번째 정착지는 '시흥'"
14,에르메스뷰티 립스틱 판매 첫 날…마스크 구매만큼 긴 줄,https://www.mk.co.kr/news/business/view/2020/03/229171/,"Wed, 04 Mar 2020 08:00:00 GMT",에르메스뷰티 립스틱 판매 첫 날…마스크 구매만큼 긴 줄
