,title,link,pubDate,description
0,Why is Apple called Apple?,https://www.macworld.co.uk/feature/why-is-apple-called-apple-3783504/,"Thu, 05 Mar 2020 08:00:00 GMT",Why is Apple called Apple?
1,Apple continues to struggle to establish a supply chain in India,https://appleinsider.com/articles/20/03/05/apple-continues-to-struggle-to-establish-a-supply-chain-in-india,"Thu, 05 Mar 2020 08:00:00 GMT",Apple continues to struggle to establish a supply chain in India
2,"Apple is rejecting coronavirus apps that aren't from health organizations, app makers say",https://www.cnbc.com/2020/03/05/apple-rejects-coronavirus-apps-that-arent-from-health-organizations.html,"Thu, 05 Mar 2020 08:00:00 GMT","Apple is rejecting coronavirus apps that aren't from health organizations, app makers say"
3,Apple fails to invalidate Caltech patent tied to $1.1B lawsuit,https://appleinsider.com/articles/20/03/05/apple-fails-to-invalidate-caltech-patent-tied-to-11b-lawsuit,"Fri, 06 Mar 2020 08:00:00 GMT",Apple fails to invalidate Caltech patent tied to $1.1B lawsuit
4,"Apple warns staff of product shortages, but IT workers have already seen them",https://arstechnica.com/gadgets/2020/03/apple-warns-staff-of-product-shortages-but-it-workers-have-already-seen-them/,"Thu, 05 Mar 2020 08:00:00 GMT","Apple warns staff of product shortages, but IT workers have already seen them"
5,"Apple, Netflix, WarnerMedia, and LinkedIn pull out of SXSW appearances",https://www.theverge.com/2020/3/4/21165588/apple-pulling-out-sxsw-coronavirus-apple-tv-plus-austin,"Thu, 05 Mar 2020 08:00:00 GMT","Apple, Netflix, WarnerMedia, and LinkedIn pull out of SXSW appearances"
6,Here's How Long It Took Apple To Reach A $100B Market Cap,https://finance.yahoo.com/news/heres-long-took-apple-reach-140024062.html,"Thu, 05 Mar 2020 08:00:00 GMT",Here's How Long It Took Apple To Reach A $100B Market Cap
7,Apple iPhone partner Foxconn's revenue tanks on coronavirus slowdown,https://www.cnbc.com/2020/03/05/coronavirus-apple-iphone-partner-foxconn-february-revenue-down.html,"Thu, 05 Mar 2020 08:00:00 GMT",Apple iPhone partner Foxconn's revenue tanks on coronavirus slowdown
8,Apple and Google are cracking down on coronavirus apps to combat misinformation,https://www.theverge.com/2020/3/5/21167102/apple-google-coronavirus-iphone-apps-android-misinformation-reject-ban,"Thu, 05 Mar 2020 08:00:00 GMT",Apple and Google are cracking down on coronavirus apps to combat misinformation
9,"iPhone SE 2: Apple's next US$399 ""budget"" smartphone enters final verification phase",https://www.notebookcheck.net/iPhone-SE-2-Apple-s-next-US-399-budget-smartphone-enters-final-verification-phase.455376.0.html,"Thu, 05 Mar 2020 08:00:00 GMT","iPhone SE 2: Apple's next US$399 ""budget"" smartphone enters final verification phase"
10,The untold origins of Apple's groundbreaking design,https://www.fastcompany.com/90472162/the-untold-origins-of-apples-groundbreaking-design,"Thu, 05 Mar 2020 08:00:00 GMT",The untold origins of Apple's groundbreaking design
11,Apple reportedly rejecting coronavirus apps not developed by recognized institutions,https://appleinsider.com/articles/20/03/05/apple-reportedly-rejecting-coronavirus-apps-not-developed-by-recognized-institutions,"Thu, 05 Mar 2020 08:00:00 GMT",Apple reportedly rejecting coronavirus apps not developed by recognized institutions
12,"Apple, Google, and others asked to avoid travel and cancel big events",https://www.theverge.com/2020/3/5/21167054/santa-clara-county-coronavirus-amazon-apple-google-facebook-microsoft,"Fri, 06 Mar 2020 08:00:00 GMT","Apple, Google, and others asked to avoid travel and cancel big events"
13,WWDC 2020: Why Apple must go virtual for this year's show,https://www.computerworld.com/article/3530307/wwdc-2020-why-apple-must-go-virtual-for-this-years-show.html,"Thu, 05 Mar 2020 08:00:00 GMT",WWDC 2020: Why Apple must go virtual for this year's show
14,Apple Supplier Skyworks Is the Latest Tech Company to Issue Coronavirus Warning,https://www.fool.com/investing/2020/03/05/apple-supplier-skyworks-latest-tech-company-to-iss.aspx,"Thu, 05 Mar 2020 08:00:00 GMT",Apple Supplier Skyworks Is the Latest Tech Company to Issue Coronavirus Warning
15,"App Store Guidelines ban police-spotting apps, raise bar on dating apps and more",https://techcrunch.com/2020/03/05/app-store-guidelines-ban-police-spotting-apps-raises-bar-on-dating-apps-and-more/,"Thu, 05 Mar 2020 08:00:00 GMT","App Store Guidelines ban police-spotting apps, raise bar on dating apps and more"
16,"'AirPods Pro Lite' production to start in late Q1, Early Q2",https://appleinsider.com/articles/20/03/05/airpods-pro-lite-production-to-start-in-late-q1-early-q2,"Thu, 05 Mar 2020 08:00:00 GMT","'AirPods Pro Lite' production to start in late Q1, Early Q2"
17,Apple Stores Face a Shortage of iPhone Replacements Due to Coronavirus,https://www.pcmag.com/news/apple-stores-face-a-shortage-of-iphone-replacements-due-to-coronavirus,"Thu, 05 Mar 2020 08:00:00 GMT",Apple Stores Face a Shortage of iPhone Replacements Due to Coronavirus
18,Apple now lets apps serve ads in your push notifications,https://www.gsmarena.com/ads_coming_to_your_push_notifications_in_ios_13-news-41846.php,"Fri, 06 Mar 2020 08:00:00 GMT",Apple now lets apps serve ads in your push notifications - GSMArena.com news
19,Apple iPad Pro 2020: Short Supply May Indicate Imminent iPad Reveal,https://www.forbes.com/sites/davidphelan/2020/03/05/apple-ipad-pro-2020-short-supply-may-indicate-imminent-ipad-reveal/,"Thu, 05 Mar 2020 08:00:00 GMT",Apple iPad Pro 2020: Short Supply May Indicate Imminent iPad Reveal
20,Apple's New Store Guidelines Allow Apps to Send Ads as Push Notifications,https://gadgets.ndtv.com/apps/news/apple-guidelines-push-notifications-optional-ads-ios-macos-2190594,"Thu, 05 Mar 2020 08:00:00 GMT",Apple's New Store Guidelines Allow Apps to Send Ads as Push Notifications
21,Apple Now Allows Apps to Send Push Notifications With Ads,https://www.pcmag.com/news/apple-now-allows-apps-to-send-push-notifications-with-ads,"Thu, 05 Mar 2020 08:00:00 GMT",Apple Now Allows Apps to Send Push Notifications With Ads
22,Report: Apple is facing a shortage of replacement iPhones,https://www.trustedreviews.com/news/report-apple-is-facing-a-shortage-of-replacement-iphones-3990952,"Thu, 05 Mar 2020 08:00:00 GMT",Report: Apple is facing a shortage of replacement iPhones
23,Apple is Considering a new Method of Constructing iPhones,https://www.patentlyapple.com/patently-apple/2020/03/apple-is-considering-a-new-method-of-constructing-iphones.html,"Thu, 05 Mar 2020 08:00:00 GMT",Apple is Considering a new Method of Constructing iPhones
24,Apple loses Appeal to invalidate a Caltech Patent and is ordered to pay the $US1.1 Billion verdict,https://www.patentlyapple.com/patently-apple/2020/03/apple-loses-appeal-to-invalidate-a-caltech-patent-and-is-ordered-to-pay-the-us11-billion-verdict.html,"Thu, 05 Mar 2020 08:00:00 GMT",Apple loses Appeal to invalidate a Caltech Patent and is ordered to pay the $US1.1 Billion verdict
