,title,link,pubDate,description
0,Coronavirus flight cuts: Delta cuts Japan routes; American reduces service to South Korea,https://www.usatoday.com/story/travel/airline-news/2020/03/04/coronavirus-travel-delta-american-cut-more-asia-flights/4951759002/,"Wed, 04 Mar 2020 08:00:00 GMT",Coronavirus flight cuts: Delta cuts Japan routes; American reduces service to South Korea
1,Delta cancels Seattle-Osaka flights amid coronavirus outbreak - Puget Sound Business Journal,https://www.bizjournals.com/seattle/news/2020/03/04/delta-air-lines-cancels-seattle-osaka-summer.html,"Wed, 04 Mar 2020 08:00:00 GMT",Delta cancels Seattle-Osaka flights amid coronavirus outbreak - Puget Sound Business Journal
2,"Delta scales back PDX flights due to coronavirus, United cuts across the board",https://www.oregonlive.com/business/2020/03/delta-scales-back-pdx-flights-due-to-coronavirus-united-cuts-across-the-board.html,"Wed, 04 Mar 2020 08:00:00 GMT","Delta scales back PDX flights due to coronavirus, United cuts across the board"
3,Delta Air Lines cites coronavirus for scaling back Japan flights,https://www.bizjournals.com/atlanta/news/2020/03/04/delta-to-scale-back-flights-to-japan-in-wake-of.html,"Wed, 04 Mar 2020 08:00:00 GMT",Delta Air Lines cites coronavirus for scaling back Japan flights - Atlanta Business Chronicle
4,Delta announces rash of Japan-U.S. flight cuts over coronavirus epidemic,https://www.japantimes.co.jp/news/2020/03/05/business/covid-19-delta-reduces-japan-us-flights/,"Thu, 05 Mar 2020 08:00:00 GMT",Delta announces rash of Japan-U.S. flight cuts over coronavirus epidemic
5,Man Blasts Delta Airlines After His Laptop Is Smashed By Passenger Reclining Seat,https://www.ndtv.com/offbeat/man-blasts-delta-after-his-laptop-is-smashed-by-passenger-reclining-seat-2189866,"Wed, 04 Mar 2020 08:00:00 GMT",Man Blasts Delta Airlines After His Laptop Is Smashed By Passenger Reclining Seat
6,Delta Air Lines feeling the effects of Coronavirus COVID-19,https://eturbonews.com/565375/delta-air-lines-feeling-the-effects-of-coronavirus-covid-19/,"Wed, 04 Mar 2020 08:00:00 GMT",Delta Air Lines feeling the effects of Coronavirus COVID-19
7,Southwest Airlines scores huge on-time arrivals win in February,https://www.bizjournals.com/chicago/news/2020/03/04/southwest-airlines-scores-huge-on-time-arrivals.html,"Wed, 04 Mar 2020 08:00:00 GMT",Southwest Airlines scores huge on-time arrivals win in February - Chicago Business Journal
8,"Coronavirus: Delta cuts Japan flights, waives change fees for travel",https://www.businesstraveller.com/business-travel/2020/03/05/coronavirus-delta-cuts-japan-flights-waives-change-fees-for-travel/,"Thu, 05 Mar 2020 08:00:00 GMT","Coronavirus: Delta cuts Japan flights, waives change fees for travel – Business Traveller"
9,Delta adds flights from Brunswick to Atlanta,https://www.news4jax.com/news/georgia/2020/03/04/delta-adds-flights-from-brunswick-to-atlanta/,"Wed, 04 Mar 2020 08:00:00 GMT",Delta adds flights from Brunswick to Atlanta
10,"United Airlines reduces U.S. flights, asks workers to take unpaid leave amid coronavirus outbreak",https://www.marketwatch.com/story/united-airlines-reduces-us-flights-asks-workers-to-take-unpaid-leave-amid-coronavirus-outbreak-2020-03-04,"Wed, 04 Mar 2020 08:00:00 GMT","United Airlines reduces U.S. flights, asks workers to take unpaid leave amid coronavirus outbreak"
11,Why Southwest Airlines was upgraded amid worries about air travel,https://www.bizjournals.com/baltimore/news/2020/03/04/southwest-airlines-upgrade.html,"Wed, 04 Mar 2020 08:00:00 GMT",Why Southwest Airlines was upgraded amid worries about air travel - Baltimore Business Journal
12,"Coronavirus forces United Airlines to cut overseas and U.S. flights, freeze hiring",https://www.latimes.com/business/story/2020-03-04/united-airlines-virus,"Wed, 04 Mar 2020 08:00:00 GMT","Coronavirus forces United Airlines to cut overseas and U.S. flights, freeze hiring"
13,Why Warren Buffett Ignored Doomsayers and Bought the Stock Market Dip,https://www.ccn.com/why-warren-buffett-ignored-doomsayers-bought-the-stock-market-dip/,"Wed, 04 Mar 2020 08:00:00 GMT",Why Warren Buffett Ignored Doomsayers and Bought the Stock Market Dip
14,"Coronavirus Means Less Air Travel, But With More Flexibility",https://nymag.com/intelligencer/2020/03/how-airlines-are-reacting-to-coronavirus.html,"Wed, 04 Mar 2020 08:00:00 GMT","Coronavirus Means Less Air Travel, But With More Flexibility"
15,United Airlines' Very Generous Change Fee Waiver,https://onemileatatime.com/united-airlines-change-fee-waiver/,"Wed, 04 Mar 2020 08:00:00 GMT",United Airlines' Very Generous Change Fee Waiver
16,No significant impact yet on Twin Cities as coronavirus upends travel plans,https://www.bizjournals.com/twincities/news/2020/03/04/coronavirus-upends-travel-plans-but-twin-cities.html,"Wed, 04 Mar 2020 08:00:00 GMT",No significant impact yet on Twin Cities as coronavirus upends travel plans - Minneapolis / St. Paul Business Journal
17,Lowest air traffic growth in a decade 'tip of the iceberg',https://www.airlineratings.com/news/lowest-air-traffic-growth-decade-tip-iceberg/,"Thu, 05 Mar 2020 08:00:00 GMT",Lowest air traffic growth in a decade 'tip of the iceberg'
18,How to disinfect your space on an airplane,https://www.chicagotribune.com/coronavirus/sns-nyt-how-to-disinfect-airplane-space-20200304-l4dctcchrzactaikkw2ybchlvm-story.html,"Wed, 04 Mar 2020 08:00:00 GMT",How to disinfect your space on an airplane
19,Report: Dayton airport the top landing spot for Breeze Airways,https://www.bizjournals.com/dayton/news/2020/03/04/report-dayton-airport-the-top-landing-spot-for-new.html,"Wed, 04 Mar 2020 08:00:00 GMT",Report: Dayton airport the top landing spot for Breeze Airways - Dayton Business Journal
