,title,link,pubDate,description
0,C3.ai lands IBM partnership and more customers for its artificial intelligence and IoT platform,https://www.zdnet.com/article/c3-ai-lands-ibm-partnership-and-more-customers-for-its-artificial-intelligence-and-iot-platform/,"Thu, 05 Mar 2020 08:00:00 GMT",C3.ai lands IBM partnership and more customers for its artificial intelligence and IoT platform
1,IBM Cancels their annual 'IBM Think 2020' conference but will hold a Digital Version of it online with Streaming content & sessions,https://www.patentlyapple.com/patently-apple/2020/03/ibm-cancels-their-annual-ibm-think-2020-conference-but-will-hold-a-digital-version-of-it-online-with-streaming-content-se.html,"Thu, 05 Mar 2020 08:00:00 GMT",IBM Cancels their annual 'IBM Think 2020' conference but will hold a Digital Version of it online with Streaming content & sessions
2,IBM Research's Bernen House Lab: A 'home of the future',https://www.usatoday.com/videos/money/2020/03/05/ibm-researchs-bernen-house-lab-home-future/4905565002/,"Thu, 05 Mar 2020 08:00:00 GMT",IBM Research's Bernen House Lab: A 'home of the future'
3,Canadian hospital collaborates with IBM for health consent blockchain,https://www.ledgerinsights.com/health-consent-blockchain-university-health-network-uhn/,"Thu, 05 Mar 2020 08:00:00 GMT",Canadian hospital collaborates with IBM for health consent blockchain
4,El Ordeño applies blockchain in its TRÜ milk products,https://www.foodnavigator-latam.com/Article/2020/03/05/El-Ordeno-applies-blockchain-in-its-TRUe-milk-products,"Thu, 05 Mar 2020 08:00:00 GMT",El Ordeño applies blockchain in its TRÜ milk products
5,Could quantum computing help beat the next coronavirus?,https://www.usatoday.com/story/tech/2020/03/05/how-quantum-computing-could-help-coronavirus-research/4931533002/,"Thu, 05 Mar 2020 08:00:00 GMT",Could quantum computing help beat the next coronavirus?
6,"Rigetti Computing took a $71 million down round, because quantum computing is hard",https://techcrunch.com/2020/03/05/rigetti-computing-took-a-71-million-down-round-because-quantum-computing-is-hard/,"Thu, 05 Mar 2020 08:00:00 GMT","Rigetti Computing took a $71 million down round, because quantum computing is hard"
7,Kubeflow 1.0 Advances AI Adoption on Kubernetes Platforms,https://containerjournal.com/topics/container-ecosystems/kubeflow-1-0-advances-ai-adoption-on-kubernetes-platforms/,"Fri, 06 Mar 2020 08:00:00 GMT",Kubeflow 1.0 Advances AI Adoption on Kubernetes Platforms
8,Mayflower Autonomous Ship is headed to sea to test its self-driving boat tech,https://www.digitaltrends.com/cool-tech/mayflower-ship-seat-tests/,"Thu, 05 Mar 2020 08:00:00 GMT",Mayflower Autonomous Ship is headed to sea to test its self-driving boat tech
9,"Power 10: PJ Mitchell, The Center Club",https://www.bizjournals.com/baltimore/news/2020/03/05/power-10-pj-mitchell-the-center-club.html,"Thu, 05 Mar 2020 08:00:00 GMT","Power 10: PJ Mitchell, The Center Club - Baltimore Business Journal"
10,"Apple, Netflix join ranks of those pulling out of SXSW",https://www.statesman.com/business/20200305/apple-netflix-join-ranks-of-those-pulling-out-of-sxsw,"Thu, 05 Mar 2020 08:00:00 GMT","Apple, Netflix join ranks of those pulling out of SXSW"
11,Buffalo Billion: $50 million of waste,https://www.investigativepost.org/2020/03/05/buffalo-billion-50-million-of-waste/,"Thu, 05 Mar 2020 08:00:00 GMT",Buffalo Billion: $50 million of waste
12,"HCI market grows as storage, servers shrink",https://searchconvergedinfrastructure.techtarget.com/news/252479619/HCI-market-grows-as-storage-servers-shrink,"Thu, 05 Mar 2020 08:00:00 GMT","HCI market grows as storage, servers shrink"
13,"Octopai Announces Support of Tabular on Azure Analysis Services, Netezza, and Vertica",https://www.dbta.com/Editorial/News-Flashes/Octopai-Announces-Support-of-Tabular-on-Azure-Analysis-Services-Netezza-and-Vertica-139596.aspx,"Thu, 05 Mar 2020 08:00:00 GMT","Octopai Announces Support of Tabular on Azure Analysis Services, Netezza, and Vertica"
14,Jack Welch transformed American capitalism as boss of GE,https://www.economist.com/business/2020/03/05/jack-welch-transformed-american-capitalism-as-boss-of-ge,"Thu, 05 Mar 2020 08:00:00 GMT",Jack Welch transformed American capitalism as boss of GE
