,title,link,pubDate,description
0,삼성전자 미국 투자발표 초읽기…미중 정상회담 변수 되나 - 매일경제,https://www.mk.co.kr/news/business/view/2021/11/1070221/,"Sat, 13 Nov 2021 01:43:26 GMT",삼성전자 미국 투자발표 초읽기…미중 정상회담 변수 되나
1,"삼성전자, 인사제도 바꾼다… 이재용의 '뉴 삼성' 방향성 나올까 - 머니S - Money S",https://m.moneys.mt.co.kr/article.html?no=2021111316498097090,"Sat, 13 Nov 2021 07:53:24 GMT","삼성전자, 인사제도 바꾼다… 이재용의 '뉴 삼성' 방향성 나올까 - 머니S"
2,터키 매체 “삼성전자 롤링 스크린 중요 특허” - 글로벌이코노믹,https://www.g-enews.com/view.php?ud=2021111309480954932bb03d9507_1,"Sat, 13 Nov 2021 00:58:21 GMT",터키 매체 “삼성전자 롤링 스크린 중요 특허”
3,삼성전자 SK하이닉스 불확실성 커지나…내년 웨이퍼 공급난 우려 - 매일경제,https://www.mk.co.kr/news/it/view/2021/11/1070236/,"Sat, 13 Nov 2021 02:01:02 GMT",삼성전자 SK하이닉스 불확실성 커지나…내년 웨이퍼 공급난 우려
4,[LIVE 스타트업] 삼성전자 ‘C랩 아웃사이드’에 '에너자이' 선정 - 글로벌경제신문,https://www.getnews.co.kr/news/articleView.html?idxno=559586,"Sat, 13 Nov 2021 01:11:50 GMT",[LIVE 스타트업] 삼성전자 ‘C랩 아웃사이드’에 '에너자이' 선정
5,삼성전자 갤럭시S21 FE·S22 나온다 - 시사매거진,http://www.sisamagazine.co.kr/news/articleView.html?idxno=413223,"Sat, 13 Nov 2021 02:09:16 GMT",삼성전자 갤럭시S21 FE·S22 나온다
6,"""사랑에 빠지지 말라""…삼성전자 주주 저격한 여의도 증권맨 [박의명의 불개미 구조대] - 한국경제",https://www.hankyung.com/finance/article/202111123690i,"Fri, 12 Nov 2021 22:41:54 GMT","""사랑에 빠지지 말라""…삼성전자 주주 저격한 여의도 증권맨 [박의명의 불개미 구조대]"
7,"이재용, 14일 해외 출장 나서… 20조 반도체 투자 결론짓나 - 조선일보 - 조선일보",https://www.chosun.com/economy/industry-company/2021/11/13/WP2MPZ52G5DWPIZK6ANLAQMTAE/,"Sat, 13 Nov 2021 11:36:00 GMT","이재용, 14일 해외 출장 나서… 20조 반도체 투자 결론짓나 - 조선일보"
8,[배진솔의 전자사전]삼성전자가 美에 제출한 영업기밀은? - 이데일리,https://www.edaily.co.kr/news/read?newsId=01377606629245392&mediaCodeNo=257,"Sat, 13 Nov 2021 03:00:00 GMT",[배진솔의 전자사전]삼성전자가 美에 제출한 영업기밀은?
9,“종이 비행기나 접어라” ‘조롱’ 받던 삼성 ‘놀라운 반전’ - 헤럴드경제 뉴스 - 헤럴드경제 모바일,http://mbiz.heraldcorp.com/view.php?ud=20211112000669,"Sat, 13 Nov 2021 05:40:00 GMT",“종이 비행기나 접어라” ‘조롱’ 받던 삼성 ‘놀라운 반전’ - 헤럴드경제 뉴스
